Timestamp,IP,Reason,Action
2024-11-25 21:53:50,bae3:2eab:c6a4:5230:f3b0:f0fc:a394:23af,Detects XSS payloads.,block
2024-11-25 21:53:50,903d:a795:d49c:aacf:941b:901c:7b01:2a1b,Restricts access to admin pages.,block
2024-11-25 21:53:50,903d:a795:d49c:aacf:941b:901c:7b01:2a1b,Blocks access to sensitive files.,block
2024-11-25 21:53:50,29.150.125.246,Blocks access to sensitive files.,block
2024-11-25 21:53:50,163.34.193.109,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,223.44.78.154,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,d9d3:9945:20ee:e392:de95:117b:1e30:cb63,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,172.73.227.140,Detects Null Byte Injection.,block
2024-11-25 21:53:50,ff41:e325:1a4e:6df8:22c7:4046:3cb0:a2c5,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,a671:c56:6647:695e:fbd0:4696:7c39:c050,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,101.78.158.241,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,101.78.158.241,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,132.107.158.218,Blocks access to .git directories.,block
2024-11-25 21:53:50,6fdf:d639:6692:6cae:f94c:3d7:ecd7:7b18,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,95.130.38.51,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,19.2.215.204,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,62.233.82.185,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,62.233.82.185,Detects XSS payloads.,block
2024-11-25 21:53:50,92.126.154.181,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,92.126.154.181,Detects XSS payloads.,block
2024-11-25 21:53:50,186.112.39.75,Blocks access to sensitive files.,block
2024-11-25 21:53:50,67.170.222.87,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,8b5c:57a:f46a:624d:b65:c504:1c4d:52fe,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,189.254.227.133,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,189.254.227.133,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,154.146.60.61,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,73.6.41.158,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,73.6.41.158,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,186.74.68.221,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,186.74.68.221,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,61.231.17.147,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,61.231.17.147,Detects XSS payloads.,block
2024-11-25 21:53:50,66.231.139.13,Restricts access to admin pages.,block
2024-11-25 21:53:50,66.231.139.13,Blocks access to sensitive files.,block
2024-11-25 21:53:50,148.198.160.251,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,148.198.160.251,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,b360:d30c:b04a:4477:86a7:3d05:bf74:e189,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,b360:d30c:b04a:4477:86a7:3d05:bf74:e189,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,5.223.37.214,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,748a:f6f3:4032:7f14:70f4:7e55:7bdf:59a0,Restricts access to admin pages.,block
2024-11-25 21:53:50,748a:f6f3:4032:7f14:70f4:7e55:7bdf:59a0,Detects credentials passed in URL.,block
2024-11-25 21:53:50,62.215.87.106,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,7.197.100.227,Restricts access to admin pages.,block
2024-11-25 21:53:50,7.197.100.227,Blocks access to sensitive files.,block
2024-11-25 21:53:50,2178:94:e54c:c974:b883:7190:a3f5:bc40,Restricts access to admin pages.,block
2024-11-25 21:53:50,2178:94:e54c:c974:b883:7190:a3f5:bc40,Blocks access to sensitive files.,block
2024-11-25 21:53:50,209.146.245.211,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,209.146.245.211,Restricts access to admin pages.,block
2024-11-25 21:53:50,7645:58e0:59c5:bb13:88b4:226f:7218:f58d,Detects XSS payloads.,block
2024-11-25 21:53:50,4b33:bf6d:8df:6f97:819b:1ef8:3cc2:57ec,Detects XSS payloads.,block
2024-11-25 21:53:50,195.171.155.166,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,200b:3f84:b680:943e:e90f:91f:52b7:8a06,Detects XSS payloads.,block
2024-11-25 21:53:50,49.198.118.47,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,76.27.229.11,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,4ee0:1d19:b2c7:b91b:aa73:acc9:f563:1a68,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,4ee0:1d19:b2c7:b91b:aa73:acc9:f563:1a68,Detects XSS payloads.,block
2024-11-25 21:53:50,89.236.176.154,Restricts access to admin pages.,block
2024-11-25 21:53:50,89.236.176.154,Blocks access to sensitive files.,block
2024-11-25 21:53:50,181.37.150.112,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,206.131.172.188,Detects XSS payloads.,block
2024-11-25 21:53:50,1071:a803:22b0:aa37:8cc5:44b:7abe:9767,Blocks access to sensitive files.,block
2024-11-25 21:53:50,8cfe:176d:59f5:1cd9:cb80:5b19:2f41:c163,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,8cfe:176d:59f5:1cd9:cb80:5b19:2f41:c163,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,140.53.8.238,Detects Null Byte Injection.,block
2024-11-25 21:53:50,bc2a:af63:37fe:3fe8:4152:7c94:860a:f0ac,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,117.197.1.242,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,6cc:f14e:bc25:48ac:4591:ddf9:1462:6b18,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,6cc:f14e:bc25:48ac:4591:ddf9:1462:6b18,Detects XSS payloads.,block
2024-11-25 21:53:50,19.22.245.92,Detects XSS payloads.,block
2024-11-25 21:53:50,211.30.40.173,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,211.30.40.173,Detects XSS payloads.,block
2024-11-25 21:53:50,c151:f21a:b1a3:f0b8:e58a:3304:c1bc:af4f,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,c151:f21a:b1a3:f0b8:e58a:3304:c1bc:af4f,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,321c:63ca:dfdb:7f6c:3bb5:2610:c62c:c121,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,321c:63ca:dfdb:7f6c:3bb5:2610:c62c:c121,Restricts access to admin pages.,block
2024-11-25 21:53:50,193.206.235.29,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,193.206.235.29,Detects XSS payloads.,block
2024-11-25 21:53:50,125.28.211.50,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,172.126.210.5,Blocks access to sensitive files.,block
2024-11-25 21:53:50,121.216.73.130,Blocks access to .git directories.,block
2024-11-25 21:53:50,38.199.103.31,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,197.186.169.178,Restricts access to admin pages.,block
2024-11-25 21:53:50,197.186.169.178,Detects credentials passed in URL.,block
2024-11-25 21:53:50,34.166.115.15,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,b11c:49b9:627:c04f:bd98:50f7:2ceb:8936,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,859f:7c66:af9e:43e:431c:e482:7163:9deb,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,859f:7c66:af9e:43e:431c:e482:7163:9deb,Restricts access to admin pages.,block
2024-11-25 21:53:50,25.80.51.61,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,25.80.51.61,Detects XSS payloads.,block
2024-11-25 21:53:50,89.240.61.108,Blocks access to .git directories.,block
2024-11-25 21:53:50,105.170.183.15,Restricts access to admin pages.,block
2024-11-25 21:53:50,105.170.183.15,Detects credentials passed in URL.,block
2024-11-25 21:53:50,5078:ed15:4bf:9bbd:9f41:f293:42f8:a2e3,Detects Null Byte Injection.,block
2024-11-25 21:53:50,74.71.197.214,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,218.83.247.217,Blocks access to sensitive files.,block
2024-11-25 21:53:50,102.80.95.109,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,102.80.95.109,Detects XSS payloads.,block
2024-11-25 21:53:50,32.168.224.172,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,219.242.119.172,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,219.242.119.172,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,32.168.224.172,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,be6b:25d8:9c84:bef8:6e94:2d09:70d6:4b33,Restricts access to admin pages.,block
2024-11-25 21:53:50,be6b:25d8:9c84:bef8:6e94:2d09:70d6:4b33,Blocks access to sensitive files.,block
2024-11-25 21:53:50,6467:a7b1:fb13:ffb:e86d:62b6:d2c:ae19,Restricts access to admin pages.,block
2024-11-25 21:53:50,6467:a7b1:fb13:ffb:e86d:62b6:d2c:ae19,Detects credentials passed in URL.,block
2024-11-25 21:53:50,87.212.157.3,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,66.170.211.253,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,6a08:a321:988f:6482:5631:86cb:a32:2af4,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,70.160.188.128,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,70.160.188.128,Detects XSS payloads.,block
2024-11-25 21:53:50,90.73.64.198,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,90.73.64.198,Restricts access to admin pages.,block
2024-11-25 21:53:50,78.214.250.139,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,52.206.7.100,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,52.206.7.100,Detects XSS payloads.,block
2024-11-25 21:53:50,3988:5e36:1fb7:a1a8:e353:3d0e:88fb:2ace,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,af35:b804:8652:e3c0:7851:cee2:5ae7:3d91,Blocks access to sensitive files.,block
2024-11-25 21:53:50,28.75.189.25,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,109.210.16.55,Restricts access to admin pages.,block
2024-11-25 21:53:50,9697:679f:e139:8bd2:f05f:d1b3:b8db:ab6a,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,223.204.182.4,Blocks access to .git directories.,block
2024-11-25 21:53:50,7111:48de:f5e1:d844:4d51:9e6:3a52:ed67,Detects Null Byte Injection.,block
2024-11-25 21:53:50,222.2.129.147,Blocks access to .git directories.,block
2024-11-25 21:53:50,172.26.56.110,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,a347:6b48:ff77:97dc:75bf:5b0b:3a3c:50bf,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,38.152.203.162,Detects Null Byte Injection.,block
2024-11-25 21:53:50,688c:c1b1:c20a:b75a:3a6b:49bf:beb0:82c6,Blocks access to sensitive files.,block
2024-11-25 21:53:50,126.173.54.146,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,1041:4799:f648:a4ea:56:a20e:fa78:49c0,Restricts access to admin pages.,block
2024-11-25 21:53:50,1041:4799:f648:a4ea:56:a20e:fa78:49c0,Blocks access to sensitive files.,block
2024-11-25 21:53:50,92.126.154.181,Blocks access to sensitive files.,block
2024-11-25 21:53:50,ef9b:8396:5ca5:aa60:8cb2:a5e1:6af2:7509,Detects XSS payloads.,block
2024-11-25 21:53:50,62.36.64.102,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,221.112.50.103,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,221.112.50.103,Restricts access to admin pages.,block
2024-11-25 21:53:50,98.4.19.103,Detects XSS payloads.,block
2024-11-25 21:53:50,6b2e:c119:c6f4:8a4b:be1e:e945:7efc:bafc,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,35.96.80.127,Detects XSS payloads.,block
2024-11-25 21:53:50,39ba:73de:c658:9208:c4d3:cf5f:60ac:3c66,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,177.180.165.149,Blocks access to .git directories.,block
2024-11-25 21:53:50,7eb6:71c2:75fc:da1f:59b:61c6:8d65:88d1,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,218.6.9.157,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,218.6.9.157,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,cacc:5738:21f3:aae6:3deb:463f:da6:1c77,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,5cf9:8746:1bcf:2ad3:f246:5b75:56b5:6344,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,72.112.127.129,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,76.152.138.237,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,64.234.253.67,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,3750:b528:40ad:f603:1de3:77f3:daa7:7bf9,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,146.239.91.195,Detects XSS payloads.,block
2024-11-25 21:53:50,83.182.54.255,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,2135:67c5:2e4c:931c:1b:acb3:c3fa:f3b9,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,2135:67c5:2e4c:931c:1b:acb3:c3fa:f3b9,Detects XSS payloads.,block
2024-11-25 21:53:50,111.66.173.245,Restricts access to admin pages.,block
2024-11-25 21:53:50,111.66.173.245,Blocks access to sensitive files.,block
2024-11-25 21:53:50,195.19.160.14,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,195.19.160.14,Detects XSS payloads.,block
2024-11-25 21:53:50,28.75.189.25,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,28.75.189.25,Detects XSS payloads.,block
2024-11-25 21:53:50,2693:86f9:7dd3:3eef:49fc:fbc5:bdcf:9822,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,8ccc:82db:d3ab:98fb:d020:cb71:f860:bf66,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,89.84.89.37,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,fea2:cf37:9fd9:3f7e:2274:2fd9:ca28:776b,Restricts access to admin pages.,block
2024-11-25 21:53:50,fea2:cf37:9fd9:3f7e:2274:2fd9:ca28:776b,Blocks access to sensitive files.,block
2024-11-25 21:53:50,128.103.139.186,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,200.210.38.76,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,3f1a:c4b0:c5de:6465:389a:379d:c06b:e2a,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,3f1a:c4b0:c5de:6465:389a:379d:c06b:e2a,Detects XSS payloads.,block
2024-11-25 21:53:50,53.14.209.93,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,53.14.209.93,Detects XSS payloads.,block
2024-11-25 21:53:50,54.242.30.106,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,54.242.30.106,Detects XSS payloads.,block
2024-11-25 21:53:50,cad4:f2ac:12fc:1677:37e9:7d9d:4454:e6b7,Blocks access to sensitive files.,block
2024-11-25 21:53:50,3.65.227.22,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,19.143.51.102,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,1.246.152.35,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,6982:f0d4:bf2b:f20f:4503:e75:318d:d43e,Blocks access to sensitive files.,block
2024-11-25 21:53:50,43.124.243.184,Blocks access to sensitive files.,block
2024-11-25 21:53:50,115.122.33.85,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,115.122.33.85,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,126.135.104.163,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,8.22.220.208,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,128.103.139.186,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,128.103.139.186,Detects XSS payloads.,block
2024-11-25 21:53:50,ab17:4ce4:e490:af4a:86c3:51fc:936e:2eda,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,ab17:4ce4:e490:af4a:86c3:51fc:936e:2eda,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,222.30.33.183,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,222.30.33.183,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,168.112.107.247,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,168.112.107.247,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,8f3:9bed:17be:7c38:ad44:b5b5:cc85:d44d,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,a083:e362:f3c8:531a:cf47:39a8:82dd:d0fa,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,216.84.70.63,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,13.240.65.147,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,130.119.37.169,Restricts access to admin pages.,block
2024-11-25 21:53:50,130.119.37.169,Detects credentials passed in URL.,block
2024-11-25 21:53:50,46.163.27.5,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,46.163.27.5,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,222.59.199.124,Blocks access to .git directories.,block
2024-11-25 21:53:50,50.241.143.10,Restricts access to admin pages.,block
2024-11-25 21:53:50,50.241.143.10,Blocks access to sensitive files.,block
2024-11-25 21:53:50,2b7b:5704:e5d0:d203:3f08:ef69:fa6f:a15d,Restricts access to admin pages.,block
2024-11-25 21:53:50,98.135.111.57,Detects XSS payloads.,block
2024-11-25 21:53:50,92.126.154.181,Blocks access to .git directories.,block
2024-11-25 21:53:50,66.15.254.233,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,66.15.254.233,Detects XSS payloads.,block
2024-11-25 21:53:50,156.12.10.185,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,156.12.10.185,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,184.28.150.111,Restricts access to admin pages.,block
2024-11-25 21:53:50,7fff:20b0:af7:f8b8:a573:5171:6221:4505,Blocks access to sensitive files.,block
2024-11-25 21:53:50,172.73.227.140,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,172.73.227.140,Detects XSS payloads.,block
2024-11-25 21:53:50,2a14:a02f:2d3f:eba7:b9a9:d21b:bc21:30d6,Blocks access to sensitive files.,block
2024-11-25 21:53:50,24.134.219.201,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,24.134.219.201,Detects XSS payloads.,block
2024-11-25 21:53:50,81.17.197.34,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,81.17.197.34,Detects XSS payloads.,block
2024-11-25 21:53:50,74.0.153.226,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,74.0.153.226,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,95.83.145.249,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,171.76.104.123,Restricts access to admin pages.,block
2024-11-25 21:53:50,208.150.99.181,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,e906:cc37:6e95:37ac:f670:a0e4:2f9f:5960,Restricts access to admin pages.,block
2024-11-25 21:53:50,e906:cc37:6e95:37ac:f670:a0e4:2f9f:5960,Blocks access to sensitive files.,block
2024-11-25 21:53:50,6248:4c4e:9930:67cb:84c7:fb14:48d3:3e28,Detects XSS payloads.,block
2024-11-25 21:53:50,7.70.70.254,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,162.234.123.76,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,49cb:1ec9:ae3c:c3f9:5305:c8ec:69f9:de1,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,220.42.40.138,Blocks access to .git directories.,block
2024-11-25 21:53:50,84.62.18.109,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,84.62.18.109,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,99.80.10.134,Detects Null Byte Injection.,block
2024-11-25 21:53:50,49.234.206.192,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,50.83.26.99,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,6804:31ca:d656:5afc:ac55:6d31:24fc:4dfb,Blocks access to sensitive files.,block
2024-11-25 21:53:50,126.217.26.107,Detects XSS payloads.,block
2024-11-25 21:53:50,f978:2018:67fc:b473:c085:11f3:9b7e:e66e,Detects Null Byte Injection.,block
2024-11-25 21:53:50,172.178.176.95,Detects XSS payloads.,block
2024-11-25 21:53:50,74.58.189.84,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,3.75.190.184,Blocks access to sensitive files.,block
2024-11-25 21:53:50,61.99.197.207,Detects Null Byte Injection.,block
2024-11-25 21:53:50,206.228.108.158,Detects Null Byte Injection.,block
2024-11-25 21:53:50,212.86.85.43,Detects XSS payloads.,block
2024-11-25 21:53:50,7281:b1c9:22df:9b3c:ac52:9455:b12b:e770,Detects XSS payloads.,block
2024-11-25 21:53:50,b7ca:a0c:7134:b217:c87f:c127:995e:1558,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,f779:3aa4:1bb:a08c:3638:7f12:86ca:ab48,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,b255:97b2:87f4:a10d:8277:77b1:195b:c836,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,218.114.243.252,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,216.217.206.127,Detects XSS payloads.,block
2024-11-25 21:53:50,dc17:e993:9350:fe01:1f9c:9892:fe7a:20cc,Blocks access to .git directories.,block
2024-11-25 21:53:50,129.1.54.220,Restricts access to admin pages.,block
2024-11-25 21:53:50,129.1.54.220,Detects credentials passed in URL.,block
2024-11-25 21:53:50,2e08:ca65:d990:bfc3:66b3:9251:d5ac:2bac,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,122.172.200.245,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,76.205.37.125,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,76.205.37.125,Detects XSS payloads.,block
2024-11-25 21:53:50,121.184.0.207,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,bdae:399d:c86a:85b8:ec1c:7b84:8d2b:5954,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,bdae:399d:c86a:85b8:ec1c:7b84:8d2b:5954,Detects XSS payloads.,block
2024-11-25 21:53:50,19.143.51.102,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,aede:f6e2:1909:b90e:c262:7681:b7e9:d67e,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,f1ec:a1ab:f9fe:ebd9:a5e6:66ee:60f9:f493,"Detects SQL Injection patterns, including basic XSS payloads.",block
