ClientIP,ClientRequestHost,ClientRequestMethod,ClientRequestURI,EdgeStartTimestamp,ZoneName,ClientASN,ClientCountry,ClientDeviceType,ClientSrcPort,ClientRequestBytes,ClientRequestPath,ClientRequestReferer,ClientRequestScheme,ClientRequestUserAgent,IsVulnerable,Vulnerabilities
109.210.16.55,brown-clark.com,GET,/administration,2024-11-11 03:54:36+00:00,infinitepay.io,63949,us,desktop,55712,3258,/administration,http://www.hernandez.com/,https,Opera/8.36.(X11; Linux i686; bo-CN) Presto/2.9.180 Version/10.00,True,Admin Path
d081:59f:8c6a:f868:9456:7db:fcf8:c5a7,joseph.org,GET,/treat/reach/stuff,2024-11-08 21:00:59+00:00,infinitepay.io,28126,in,tablet,42368,3904,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Opera/8.86.(X11; Linux i686; pl-PL) Presto/2.9.178 Version/12.00,True,"Admin Path, Special Characters"
90.73.64.198,walters-thompson.com,GET,/hope,2024-11-11 08:48:16+00:00,infinitepay.io,267557,in,mobile,60146,5261,/login.jsp?user=admin'--,http://www.owens.com/,https,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.1),True,"Admin Path, Special Characters"
74.235.146.73,joseph.org,POST,/sound/explain/suggest,2024-11-12 02:27:22+00:00,infinitepay.io,26615,in,desktop,58592,3544,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_1_3 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/22.0.803.0 Mobile/68Y750 Safari/533.1",True,"Admin Path, Special Characters"
28.75.189.25,moore.com,GET,/sense/especially,2024-11-07 12:26:27+00:00,infinitepay.io,396982,us,desktop,43828,6420,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
70.96.138.76,porter.biz,GET,/explain/space/sign,2024-11-14 14:06:36+00:00,infinitepay.io,268248,in,tablet,37034,4025,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Linux; Android 7.1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/51.0.852.0 Safari/532.0",True,"Admin Path, Special Characters"
9f54:bc53:cd4f:ac96:4d1e:4b06:1ed6:7d85,porter.biz,GET,/explain/space/sign,2024-11-09 17:30:20+00:00,infinitepay.io,28573,in,tablet,47866,4084,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Mozilla/5.0 (Windows 98; mni-IN; rv:1.9.2.20) Gecko/7235-07-04 22:11:05.287994 Firefox/3.6.16,True,"Admin Path, Special Characters"
108.211.228.176,kirby.info,POST,/write/toward/story,2024-11-09 12:41:58+00:00,infinitepay.io,396982,us,desktop,37398,4690,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/25.0.815.0 Safari/535.0",True,"Admin Path, Special Characters"
178.165.56.146,joseph.org,POST,/sound/explain/suggest,2024-11-12 19:05:45+00:00,infinitepay.io,28126,in,desktop,23070,3524,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
46.201.168.186,porter.biz,GET,/manage/send/gas,2024-11-14 17:56:54+00:00,infinitepay.io,53118,in,tablet,32673,3422,/login.jsp?user=admin'--,https://phillips-gutierrez.com/,https,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5 rv:4.0; fy-DE) AppleWebKit/531.15.5 (KHTML, like Gecko) Version/4.0 Safari/531.15.5",True,"Admin Path, Special Characters"
34.37.229.63,porter.biz,GET,/so/such/cup/we,2024-11-12 17:00:31+00:00,infinitepay.io,16509,in,tablet,46254,3608,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/61.0.886.0 Safari/535.2",True,"Admin Path, Special Characters"
8.84.119.17,brown.net,GET,/want/media/street,2024-11-08 21:20:23+00:00,infinitepay.io,396982,us,desktop,45412,6510,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
209.146.245.211,porter.biz,GET,/page/form/moment,2024-11-06 20:50:19+00:00,infinitepay.io,16509,in,desktop,56520,3223,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ro-RO) AppleWebKit/531.44.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6531.44.1",True,"Admin Path, Special Characters"
7cfb:1358:dd5c:8d86:21fa:ef0f:fbf4:23e2,porter.biz,GET,/long/maintain,2024-11-14 20:26:55+00:00,infinitepay.io,262468,in,mobile,55976,2836,/login.jsp?user=admin'--,http://fletcher.net/,https,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; eu-FR) AppleWebKit/532.20.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6532.20.4",True,"Admin Path, Special Characters"
2.147.90.123,porter.biz,GET,/piece/statement/common/Mrs,2024-11-08 17:47:56+00:00,infinitepay.io,268887,in,tablet,60156,4081,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Opera/8.24.(X11; Linux i686; raj-IN) Presto/2.9.170 Version/12.00,True,"Admin Path, Special Characters"
212.38.130.214,brown.net,POST,/get/particularly/president/political,2024-11-13 14:03:19+00:00,infinitepay.io,396982,us,desktop,43642,6343,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/42.0.804.0 Safari/535.2",True,"Admin Path, Special Characters"
d1ab:6d1e:3c6f:105a:53f:ed3:94b7:93c7,davenport.biz,GET,/those,2024-11-14 17:00:52+00:00,infinitepay.io,28352,in,mobile,59153,5820,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.1),True,"Admin Path, Special Characters"
150.160.13.155,williams.com,GET,/thing/maybe/price/threat,2024-11-07 01:11:51+00:00,infinitepay.io,40021,us,desktop,53706,3058,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_2_2 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/44.0.893.0 Mobile/70S614 Safari/534.2",True,"Admin Path, Special Characters"
161.61.233.9,porter.biz,GET,/so/such/cup/we,2024-11-12 22:20:32+00:00,infinitepay.io,26599,in,desktop,47157,4274,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; gl-ES) AppleWebKit/532.48.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6532.48.3",True,"Admin Path, Special Characters"
35.230.174.137,porter.biz,GET,/person,2024-11-09 15:54:23+00:00,infinitepay.io,27699,in,desktop,53838,3845,/login.jsp?user=admin'--,http://johnson.org/,https,Opera/9.21.(X11; Linux i686; gd-GB) Presto/2.9.186 Version/10.00,True,"Admin Path, Special Characters"
206.242.241.175,brown.net,GET,/different/quality/owner/necessary,2024-11-11 12:50:44+00:00,infinitepay.io,396982,us,tablet,56840,6267,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Opera/8.24.(X11; Linux i686; raj-IN) Presto/2.9.170 Version/12.00,True,"Admin Path, Special Characters"
56.172.84.231,acosta.com,GET,/whom/ever/box/nothing,2024-11-12 20:12:51+00:00,infinitepay.io,396982,us,tablet,44736,6465,/login.jsp?user=admin'--,https://martinez.net/,https,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_4) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/19.0.878.0 Safari/535.2",True,"Admin Path, Special Characters"
3b33:2b2d:228f:1312:cd7c:e25:5ec1:453,thomas.biz,GET,/tend/enter,2024-11-12 22:43:09+00:00,infinitepay.io,18881,in,mobile,34867,4114,/login.jsp?user=admin'--,https://www.cole.com/,https,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.1),True,"Admin Path, Special Characters"
155.199.65.201,kirby.info,POST,/carry,2024-11-14 21:38:09+00:00,infinitepay.io,396982,us,desktop,39486,5145,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/8697-03-31 03:40:48.995941 Firefox/3.8,True,"Admin Path, Special Characters"
221.112.50.103,acosta.com,GET,/technology/cover,2024-11-09 02:42:29+00:00,infinitepay.io,396982,us,desktop,39312,6667,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
187.58.154.169,acosta.com,GET,/research/partner/she,2024-11-08 14:52:58+00:00,infinitepay.io,396982,us,tablet,38794,6562,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/532.13.6 (KHTML, like Gecko) Version/5.0.4 Safari/532.13.6",True,"Admin Path, Special Characters"
135.161.89.192,acosta.com,GET,/guess,2024-11-13 17:42:48+00:00,infinitepay.io,396982,us,desktop,52900,6566,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; gl-ES) AppleWebKit/532.48.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6532.48.3",True,"Admin Path, Special Characters"
172.26.56.110,acosta.com,GET,/president,2024-11-12 15:45:13+00:00,infinitepay.io,396982,us,tablet,37438,6490,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_7 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/9.3p8500.0 Mobile/34U137 Safari/535.2",True,"Admin Path, Special Characters"
60.237.185.56,acosta.com,GET,/set/fill,2024-11-10 19:19:30+00:00,infinitepay.io,396982,us,desktop,48612,6552,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
57.112.34.158,acosta.com,GET,/authority,2024-11-09 10:19:56+00:00,infinitepay.io,396982,us,tablet,38604,6409,/login.jsp?user=admin'--,http://baldwin-cross.com/,https,Mozilla/5.0 (Windows 98; mni-IN; rv:1.9.2.20) Gecko/7235-07-04 22:11:05.287994 Firefox/3.6.16,True,"Admin Path, Special Characters"
198.27.117.114,porter.biz,POST,/war,2024-11-13 10:24:59+00:00,infinitepay.io,270484,in,desktop,18790,5129,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Mozilla/5.0 (Windows NT 5.01; mhr-RU; rv:1.9.2.20) Gecko/9569-07-24 19:49:49.696045 Firefox/9.0,True,"Admin Path, Special Characters"
bbb4:22c5:2f87:ad31:e4e6:5a1c:b791:a4de,porter.biz,GET,/region/let,2024-11-05 23:54:48+00:00,infinitepay.io,22085,in,tablet,32812,3445,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/4.1),True,"Admin Path, Special Characters"
13.235.167.220,acosta.com,GET,/turn/everybody/must,2024-11-10 19:31:56+00:00,infinitepay.io,396982,us,desktop,44654,6506,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
206.228.108.158,acosta.com,GET,/movie/rather/to/explain,2024-11-08 03:29:54+00:00,infinitepay.io,396982,us,desktop,60044,6405,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
40.89.209.135,porter.biz,GET,/piece/statement/common/Mrs,2024-11-14 15:07:27+00:00,infinitepay.io,273744,in,desktop,45229,2324,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows 98) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/34.0.803.0 Safari/533.0",True,"Admin Path, Special Characters"
169.98.128.160,joseph.org,POST,/sound/explain/suggest,2024-11-08 22:47:25+00:00,infinitepay.io,264294,in,desktop,53880,3536,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
859f:7c66:af9e:43e:431c:e482:7163:9deb,porter.biz,POST,/somebody/social,2024-11-11 06:00:55+00:00,infinitepay.io,28126,in,desktop,55688,4248,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/14.3m4880.0 Mobile/53U783 Safari/533.1",True,"Admin Path, Special Characters"
122.69.84.237,joseph.org,OPTIONS,/sound/explain/suggest,2024-11-06 13:46:24+00:00,infinitepay.io,61582,in,mobile,49186,2895,/login.jsp?user=admin'--,http://www.owens.com/,https,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.1),True,"Admin Path, Special Characters"
58.130.100.59,porter.biz,GET,/middle,2024-11-10 21:08:36+00:00,infinitepay.io,26599,in,tablet,19793,3901,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Mozilla/5.0 (Android 2.3.2; Mobile; rv:51.0) Gecko/51.0 Firefox/51.0,True,"Admin Path, Special Characters"
222.30.33.183,pearson.com,GET,/want/think/event,2024-11-09 14:10:28+00:00,infinitepay.io,396982,us,tablet,55328,5393,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_4) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/19.0.878.0 Safari/535.2",True,"Admin Path, Special Characters"
2ed4:a950:fe3f:fc7d:6664:1ab7:ace4:865f,carrillo-nelson.net,GET,/development/always/tend/perhaps,2024-11-07 23:07:58+00:00,infinitepay.io,26615,in,mobile,37722,3835,/login.jsp?user=admin'--,http://www.lin-miller.org/,https,Opera/8.56.(X11; Linux x86_64; ak-GH) Presto/2.9.160 Version/12.00,True,"Admin Path, Special Characters"
c352:af4c:c4f4:b3a0:8779:9d4d:3adc:26c5,porter.biz,GET,/so/such/cup/we,2024-11-13 15:21:10+00:00,infinitepay.io,268985,in,tablet,52752,4298,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_7 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/9.3p8500.0 Mobile/34U137 Safari/535.2",True,"Admin Path, Special Characters"
321c:63ca:dfdb:7f6c:3bb5:2610:c62c:c121,vaughan-ryan.org,GET,/soon,2024-11-11 21:43:31+00:00,infinitepay.io,7738,in,mobile,58214,3437,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/532.14.7 (KHTML, like Gecko) Version/5.0.2 Safari/532.14.7",True,"Admin Path, Special Characters"
8.74.115.57,joseph.org,POST,/business/big/seven,2024-11-14 19:17:47+00:00,infinitepay.io,4230,in,tablet,52327,4019,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5 rv:4.0; fy-DE) AppleWebKit/531.15.5 (KHTML, like Gecko) Version/4.0 Safari/531.15.5",True,"Admin Path, Special Characters"
192.88.206.163,brown.net,GET,/want/media/street,2024-11-08 14:15:25+00:00,infinitepay.io,396982,us,desktop,53086,6474,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
129.250.178.34,brown.net,GET,/want/media/street,2024-11-10 23:17:25+00:00,infinitepay.io,396982,us,desktop,36446,6484,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/50.0.852.0 Safari/531.0",True,"Admin Path, Special Characters"
221.112.50.103,pearson.com,GET,/eat/character/physical,2024-11-11 21:34:16+00:00,infinitepay.io,396982,us,desktop,59428,5176,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
112.140.145.158,porter.biz,GET,/want/think/event,2024-11-08 15:36:49+00:00,infinitepay.io,53089,in,desktop,49965,3469,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
222.181.221.87,acosta.com,GET,/turn/everybody/must,2024-11-13 19:20:55+00:00,infinitepay.io,396982,us,tablet,39786,6486,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Mozilla/5.0 (Windows 98; mni-IN; rv:1.9.2.20) Gecko/7235-07-04 22:11:05.287994 Firefox/3.6.16,True,"Admin Path, Special Characters"
132.50.71.3,porter.biz,GET,/want/think/event,2024-11-07 01:53:51+00:00,infinitepay.io,14868,in,desktop,1270,4039,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_5) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/55.0.833.0 Safari/535.1",True,"Admin Path, Special Characters"
219.38.39.199,porter.biz,GET,/color/save/interest,2024-11-09 23:31:02+00:00,infinitepay.io,28220,in,tablet,43270,3888,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Mozilla/5.0 (Windows 98; mni-IN; rv:1.9.2.20) Gecko/7235-07-04 22:11:05.287994 Firefox/3.6.16,True,"Admin Path, Special Characters"
51.241.135.155,porter.biz,GET,/scientist/second,2024-11-08 16:39:59+00:00,infinitepay.io,271457,in,tablet,15139,3451,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Opera/8.24.(X11; Linux i686; raj-IN) Presto/2.9.170 Version/12.00,True,"Admin Path, Special Characters"
179.143.165.40,porter.biz,GET,/middle,2024-11-13 03:30:47+00:00,infinitepay.io,4230,in,desktop,11258,3923,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
5.97.29.78,joseph.org,POST,/sound/explain/suggest,2024-11-13 22:10:10+00:00,infinitepay.io,263966,in,desktop,62775,2919,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; gl-ES) AppleWebKit/532.48.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6532.48.3",True,"Admin Path, Special Characters"
181.213.103.91,rowe-montgomery.com,GET,/light/cover,2024-11-14 17:32:44+00:00,infinitepay.io,396982,us,tablet,47184,4919,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Mozilla/5.0 (Windows 98; Win 9x 4.90; km-KH; rv:1.9.2.20) Gecko/9834-03-30 22:54:39.852295 Firefox/3.8,True,"Admin Path, Special Characters"
44.234.138.75,brown.net,GET,/person,2024-11-12 04:23:57+00:00,infinitepay.io,396982,us,tablet,42222,6526,/login.jsp?user=admin'--,http://www.hernandez.com/,https,Opera/8.24.(X11; Linux i686; raj-IN) Presto/2.9.170 Version/12.00,True,"Admin Path, Special Characters"
dc40:f127:bfd8:c9fd:c612:47f4:3c7e:14ce,joseph.org,OPTIONS,/sound/explain/suggest,2024-11-13 13:40:15+00:00,infinitepay.io,18881,in,desktop,55322,2844,/login.jsp?user=admin'--,http://johnson.org/,https,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/11.6d8322.0 Mobile/11C387 Safari/536.1",True,"Admin Path, Special Characters"
189.69.74.46,pearson.com,GET,/want/think/event,2024-11-11 15:45:35+00:00,infinitepay.io,396982,us,desktop,38334,5346,/login.jsp?user=admin'--,http://www.hernandez.com/,https,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/4.0.3 Safari/532.50.2",True,"Admin Path, Special Characters"
